# MacRomanEncoding (ISO 32000-1 / PDF 1.7, Annex D).
#
# Format: two semicolon-delimited fields: code (2-digit hex) ; glyph name.
# Codes not listed map to .notdef (no glyph).
20;space
21;exclam
22;quotedbl
23;numbersign
24;dollar
25;percent
26;ampersand
27;quotesingle
28;parenleft
29;parenright
2A;asterisk
2B;plus
2C;comma
2D;hyphen
2E;period
2F;slash
30;zero
31;one
32;two
33;three
34;four
35;five
36;six
37;seven
38;eight
39;nine
3A;colon
3B;semicolon
3C;less
3D;equal
3E;greater
3F;question
40;at
41;A
42;B
43;C
44;D
45;E
46;F
47;G
48;H
49;I
4A;J
4B;K
4C;L
4D;M
4E;N
4F;O
50;P
51;Q
52;R
53;S
54;T
55;U
56;V
57;W
58;X
59;Y
5A;Z
5B;bracketleft
5C;backslash
5D;bracketright
5E;asciicircum
5F;underscore
60;grave
61;a
62;b
63;c
64;d
65;e
66;f
67;g
68;h
69;i
6A;j
6B;k
6C;l
6D;m
6E;n
6F;o
70;p
71;q
72;r
73;s
74;t
75;u
76;v
77;w
78;x
79;y
7A;z
7B;braceleft
7C;bar
7D;braceright
7E;asciitilde
80;Adieresis
81;Aring
82;Ccedilla
83;Eacute
84;Ntilde
85;Odieresis
86;Udieresis
87;aacute
88;agrave
89;acircumflex
8A;adieresis
8B;atilde
8C;aring
8D;ccedilla
8E;eacute
8F;egrave
90;ecircumflex
91;edieresis
92;iacute
93;igrave
94;icircumflex
95;idieresis
96;ntilde
97;oacute
98;ograve
99;ocircumflex
9A;odieresis
9B;otilde
9C;uacute
9D;ugrave
9E;ucircumflex
9F;udieresis
A0;dagger
A1;degree
A2;cent
A3;sterling
A4;section
A5;bullet
A6;paragraph
A7;germandbls
A8;registered
A9;copyright
AA;trademark
AB;acute
AC;dieresis
AD;notequal
AE;AE
AF;Oslash
B0;infinity
B1;plusminus
B2;lessequal
B3;greaterequal
B4;yen
B5;mu
B6;partialdiff
B7;summation
B8;product
B9;pi
BA;integral
BB;ordfeminine
BC;ordmasculine
BD;Omega
BE;ae
BF;oslash
C0;questiondown
C1;exclamdown
C2;logicalnot
C3;radical
C4;florin
C5;approxequal
C6;Delta
C7;guillemotleft
C8;guillemotright
C9;ellipsis
CA;space
CB;Agrave
CC;Atilde
CD;Otilde
CE;OE
CF;oe
D0;endash
D1;emdash
D2;quotedblleft
D3;quotedblright
D4;quoteleft
D5;quoteright
D6;divide
D7;lozenge
D8;ydieresis
D9;Ydieresis
DA;fraction
DB;currency
DC;guilsinglleft
DD;guilsinglright
DE;fi
DF;fl
E0;daggerdbl
E1;periodcentered
E2;quotesinglbase
E3;quotedblbase
E4;perthousand
E5;Acircumflex
E6;Ecircumflex
E7;Aacute
E8;Edieresis
E9;Egrave
EA;Iacute
EB;Icircumflex
EC;Idieresis
ED;Igrave
EE;Oacute
EF;Ocircumflex
F0;apple
F1;Ograve
F2;Uacute
F3;Ucircumflex
F4;Ugrave
F5;dotlessi
F6;circumflex
F7;tilde
F8;macron
F9;breve
FA;dotaccent
FB;ring
FC;cedilla
FD;hungarumlaut
FE;ogonek
FF;caron
