# WinAnsiEncoding (ISO 32000-1 / PDF 1.7, Annex D).
#
# Format: two semicolon-delimited fields: code (2-digit hex) ; glyph name.
# Codes not listed map to .notdef (no glyph).
20;space
21;exclam
22;quotedbl
23;numbersign
24;dollar
25;percent
26;ampersand
27;quotesingle
28;parenleft
29;parenright
2A;asterisk
2B;plus
2C;comma
2D;hyphen
2E;period
2F;slash
30;zero
31;one
32;two
33;three
34;four
35;five
36;six
37;seven
38;eight
39;nine
3A;colon
3B;semicolon
3C;less
3D;equal
3E;greater
3F;question
40;at
41;A
42;B
43;C
44;D
45;E
46;F
47;G
48;H
49;I
4A;J
4B;K
4C;L
4D;M
4E;N
4F;O
50;P
51;Q
52;R
53;S
54;T
55;U
56;V
57;W
58;X
59;Y
5A;Z
5B;bracketleft
5C;backslash
5D;bracketright
5E;asciicircum
5F;underscore
60;grave
61;a
62;b
63;c
64;d
65;e
66;f
67;g
68;h
69;i
6A;j
6B;k
6C;l
6D;m
6E;n
6F;o
70;p
71;q
72;r
73;s
74;t
75;u
76;v
77;w
78;x
79;y
7A;z
7B;braceleft
7C;bar
7D;braceright
7E;asciitilde
7F;bullet
80;Euro
81;bullet
82;quotesinglbase
83;florin
84;quotedblbase
85;ellipsis
86;dagger
87;daggerdbl
88;circumflex
89;perthousand
8A;Scaron
8B;guilsinglleft
8C;OE
8D;bullet
8E;Zcaron
8F;bullet
90;bullet
91;quoteleft
92;quoteright
93;quotedblleft
94;quotedblright
95;bullet
96;endash
97;emdash
98;tilde
99;trademark
9A;scaron
9B;guilsinglright
9C;oe
9D;bullet
9E;zcaron
9F;Ydieresis
A0;space
A1;exclamdown
A2;cent
A3;sterling
A4;currency
A5;yen
A6;brokenbar
A7;section
A8;dieresis
A9;copyright
AA;ordfeminine
AB;guillemotleft
AC;logicalnot
AD;hyphen
AE;registered
AF;macron
B0;degree
B1;plusminus
B2;twosuperior
B3;threesuperior
B4;acute
B5;mu
B6;paragraph
B7;periodcentered
B8;cedilla
B9;onesuperior
BA;ordmasculine
BB;guillemotright
BC;onequarter
BD;onehalf
BE;threequarters
BF;questiondown
C0;Agrave
C1;Aacute
C2;Acircumflex
C3;Atilde
C4;Adieresis
C5;Aring
C6;AE
C7;Ccedilla
C8;Egrave
C9;Eacute
CA;Ecircumflex
CB;Edieresis
CC;Igrave
CD;Iacute
CE;Icircumflex
CF;Idieresis
D0;Eth
D1;Ntilde
D2;Ograve
D3;Oacute
D4;Ocircumflex
D5;Otilde
D6;Odieresis
D7;multiply
D8;Oslash
D9;Ugrave
DA;Uacute
DB;Ucircumflex
DC;Udieresis
DD;Yacute
DE;Thorn
DF;germandbls
E0;agrave
E1;aacute
E2;acircumflex
E3;atilde
E4;adieresis
E5;aring
E6;ae
E7;ccedilla
E8;egrave
E9;eacute
EA;ecircumflex
EB;edieresis
EC;igrave
ED;iacute
EE;icircumflex
EF;idieresis
F0;eth
F1;ntilde
F2;ograve
F3;oacute
F4;ocircumflex
F5;otilde
F6;odieresis
F7;divide
F8;oslash
F9;ugrave
FA;uacute
FB;ucircumflex
FC;udieresis
FD;yacute
FE;thorn
FF;ydieresis
